# cli-gate baseline — generated by x3d_cli_gate --write-baseline
# validate: 40/200 agree  convert: 160/160 pass
check_key	result
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/AircraftFixedWing/F18BlueAngelUnitedStates/BlueAngelF18StandAlone.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/AircraftHelicopters/HelicopterUnitedStates/SightGauge.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/AircraftHelicopters/HelicopterUnitedStates/SightGauge.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/AmphibiousVehicles/AAV/Chassis.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/AmphibiousVehicles/AAV/Chassis.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Buildings/HouseBarisAktop/Tree.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Buildings/HouseBarisAktop/Tree.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/CommunicationsAndSensors/HalfDome/DomeGreen.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/CommunicationsAndSensors/HalfDome/DomeGreen.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/GroundVehicles/HMMWV/AutomotiveTire.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/GroundVehicles/HMMWV/AutomotiveTire.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/BaltimoreMaryland/Baltimore.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/BaltimoreMaryland/Baltimore.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/3/bosphorus5-2.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/3/bosphorus5-2.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/4/bosphorus12-11.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/4/bosphorus12-11.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/4/bosphorus2-4.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/4/bosphorus2-4.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/4/bosphorus7-4.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/4/bosphorus7-4.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/0/world0-0.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/0/world0-0.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/3/world7-3.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/3/world7-3.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/4/world13-11.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/4/world13-11.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/4/world3-5.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/4/world3-5.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/4/world8-5.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/GlobeLevel0to4/tiles/4/world8-5.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/HamptonRoadsVirginia/tiles/3/HamptonRoadsVA4-5.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/HamptonRoadsVirginia/tiles/3/HamptonRoadsVA4-5.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/HamptonRoadsVirginia/tiles/4/HamptonRoadsVA11-8.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/HamptonRoadsVirginia/tiles/4/HamptonRoadsVA11-8.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/HamptonRoadsVirginia/tiles/4/HamptonRoadsVA2-14.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/HamptonRoadsVirginia/tiles/4/HamptonRoadsVA2-14.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/HamptonRoadsVirginia/tiles/4/HamptonRoadsVA7-14.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/HamptonRoadsVirginia/tiles/4/HamptonRoadsVA7-14.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/3/newport0-4.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/3/newport0-4.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/4/newport10-13.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/4/newport10-13.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/4/newport14-4.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/4/newport14-4.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/4/newport5-13.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/4/newport5-13.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport0-13.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport0-13.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport11-25.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport11-25.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport13-1.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport13-1.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport15-3.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport15-3.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport18-15.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport18-15.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport2-22.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport2-22.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport20-28.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport20-28.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport24-4.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport24-4.x3d:xml->vrml	PASS
